Aceleracao X,Aceleracao Y,Aceleracao Z,Temperatura,Velocidade X,Velocidade Y,Velocidade Z,Roll,Pitch,Yall,Magnetico X,Magnetico Y,Magnetico Z,Pressao do Ar,Altitude,Longitude,Latitude,Velocidade GPS,Angulo,Horario,RPM,Velocidade Hall,Temperatura Disco,Pressao Freio
0.10048828125,0.287109375,10.4220703125,34.63,2.25830078125,5.79833984375,-7.87353515625,3.175048828125,-1.7852783203125,72.081298828125,10.87646484375,6.163330078125,14.8370361328125,1.0019541080680978,42949656.49,3809663398.0,4033562007.0,21.705,159.78,09:32:27.867525,1111.11,22.34,72.0,1.3039999999999996
0.10048828125,0.287109375,10.4220703125,34.63,2.25830078125,5.79833984375,-7.87353515625,3.18603515625,-1.7083740234375,71.96044921875,10.8544921875,6.1798095703125,14.87548828125,1.0019541080680978,42949656.49,3809663398.0,4033562007.0,21.705,159.96,09:32:27.877381,1111.11,22.34,72.0,1.3619999999999999
-0.08134765625000001,0.31582031250000003,10.49384765625,34.66,4.0283203125,5.31005859375,-7.4462890625,3.218994140625,-1.636962890625,71.8450927734375,10.8050537109375,6.207275390625,14.9359130859375,1.0019541080680978,42949656.49,3809663398.0,4033562007.0,21.705,159.87,09:32:27.887294,1111.11,22.34,72.0,1.3019999999999998
-0.08134765625000001,0.31582031250000003,10.49384765625,34.66,4.0283203125,5.31005859375,-7.4462890625,3.2464599609375,-1.571044921875,71.7242431640625,10.7830810546875,6.2457275390625,14.96337890625,1.0019541080680978,42949656.49,3809663398.0,4033562007.0,21.705,160.05,09:32:27.897191,1111.11,22.34,72.0,1.2880000000000003
0.7560546875,1.9092773437500001,7.790234375000001,34.65,4.21142578125,5.126953125,-7.4462890625,3.27392578125,-1.505126953125,71.60888671875,10.799560546875,6.2896728515625,14.9908447265625,1.0019541080680978,42949656.49,3809663398.0,4033562007.0,21.705,160.14,09:32:27.917936,1016.95,20.45,72.0,1.3580000000000003
0.10048828125,-0.35888671875,12.709375000000001,34.63,4.69970703125,1.0986328125,-5.79833984375,3.394775390625,-1.043701171875,70.5816650390625,10.7666015625,6.43798828125,14.4854736328125,1.0019343696027634,42949656.66,3809663398.0,4033562007.0,21.705,160.40,09:32:28.014968,1200.00,24.13,72.0,1.3580000000000003
0.10048828125,-0.35888671875,12.709375000000001,34.63,4.69970703125,1.0986328125,-5.79833984375,3.4332275390625,-1.021728515625,70.4827880859375,10.7720947265625,6.3116455078125,14.447021484375,1.0019343696027634,42949656.66,3809663398.0,4033562007.0,21.705,160.49,09:32:28.016947,1200.00,24.13,72.0,1.3119999999999998
0.6986328125000001,1.2345703125,8.000781250000001,34.65,5.79833984375,2.3193359375,-5.4931640625,3.482666015625,-0.98876953125,70.3948974609375,10.78857421875,6.229248046875,14.4085693359375,1.0019343696027634,42949656.66,3809663398.0,4033562007.0,21.705,160.49,09:32:28.026837,1132.08,22.76,72.0,1.3119999999999998
0.6986328125000001,1.2345703125,8.000781250000001,34.65,5.79833984375,2.3193359375,-5.4931640625,3.5321044921875,-0.955810546875,70.3070068359375,10.777587890625,6.17431640625,14.4140625,1.0019343696027634,42949656.66,3809663398.0,4033562007.0,21.705,160.49,09:32:28.036618,1132.08,22.76,72.0,1.32
0.31582031250000003,1.2297851562500002,8.91953125,34.7,4.39453125,2.44140625,-5.79833984375,3.570556640625,-0.9283447265625,70.2191162109375,10.7281494140625,6.141357421875,14.4854736328125,1.0019343696027634,42949656.66,3809663398.0,4033562007.0,21.705,160.58,09:32:28.046518,1132.08,22.76,72.0,1.3439999999999996
0.31582031250000003,1.2297851562500002,8.91953125,34.7,4.39453125,2.44140625,-5.79833984375,3.6090087890625,-0.90087890625,70.13671875,10.6732177734375,6.1358642578125,14.6063232421875,1.0019343696027634,42949656.66,3809663398.0,4033562007.0,21.705,160.66,09:32:28.056380,1132.08,22.76,72.0,1.31
